,test_epoch,test_loss,train_epoch,train_loss
0,1,0,1,0.000807802398790181
1,2,0,2,0.0008240269765378128
2,3,0,3,0.0008078672876194495
3,4,0,4,0.0008066615982946471
4,5,0,5,0.0008097214501696332
5,6,0,6,0.0008057030912754018
6,7,0,7,0.0008076263566863081
7,8,0,8,0.0008073940616564398
8,9,0,9,0.0008081697825202571
9,10,0,10,0.000805835173361741
10,11,0,11,0.0008083445783184025
11,12,0,12,0.0007996581278555069
12,13,0,13,0.0008008707959245758
13,14,0,14,0.0007988643073718974
14,15,0,15,0.0008034778092273536
15,16,0,16,0.0007972556967162589
16,17,0,17,0.0007977649042732435
17,18,0,18,0.0007998476248476016
18,19,0,19,0.0007974054893665023
19,20,0,20,0.0007903683087200194
20,21,0,21,0.000797406007687935
21,22,0,22,0.0007952499021917131
22,23,0,23,0.0007916151278341621
23,24,0,24,0.0007910732076763419
24,25,0,25,0.0007919987997448214
25,26,0,26,0.0007905681997321534
26,27,0,27,0.0007947526770963403
27,28,0,28,0.000791622735590939
28,29,0,29,0.0007926308302633782
29,30,0,30,0.000794170494082287
30,31,0,31,0.0007859235650878386
31,32,0,32,0.0007848724225055438
32,33,0,33,0.0007887006261858933
33,34,0,34,0.0007919589763920881
34,35,0,35,0.0007930570579296148
35,36,0,36,0.0007872888924793814
36,37,0,37,0.0007914868211115852
37,38,0,38,0.0007850439158794737
38,39,0,39,0.0007834947161064142
39,40,0,40,0.0007908509459010545
40,41,0,41,0.0007830566934380371
41,42,0,42,0.0007817905670041996
42,43,0,43,0.0007816767777492243
43,44,0,44,0.0007773787069739707
44,45,0,45,0.0007841798006215778
45,46,0,46,0.0007875223717831606
46,47,0,47,0.000779726616106141
47,48,0,48,0.000782907373274217
48,49,0,49,0.0007877351593343394
49,50,0,50,0.0007795623882415932
50,51,0,51,0.0007796339635909093
51,52,0,52,0.0007861874640192922
52,53,0,53,0.0007752379575573673
53,54,0,54,0.0007807587104296781
54,55,0,55,0.0007781755335157087
55,56,0,56,0.0007733540405625113
56,57,0,57,0.0007793883323147956
57,58,0,58,0.0007793862678825454
58,59,0,59,0.0007792435322909188
59,60,0,60,0.0007728895693867409
