epoch,batchid,loss
1, 0,0.019275292754173
1, 1,0.017644174396992
1, 2,0.015961064025760
1, 3,0.012220361270010
1, 4,0.008034402504563
1, 5,0.010007380507886
1, 6,0.003929850645363
1, 7,0.004611369222403
1, 8,0.005151801276952
1, 9,0.003941799513996
1, 10,0.004059839062393
1, 11,0.003561262041330
1, 12,0.002505082404241
1, 13,0.002194987842813
1, 14,0.001580804819241
1, 15,0.002464353805408
1, 16,0.001651377649978
1, 17,0.001559192314744
1, 18,0.002090842230245
1, 19,0.001341754337773
1, 20,0.001990440301597
1, 21,0.001707345829345
1, 22,0.001210182439536
1, 23,0.002104367827997
